name,SI,isocode,malaria_index,meanrh,meantemp,itx,r,prop_tropics,coast,river,meanalt,city1800,lat,lon,province,N,tse,perturb_TSI1,perturb_TSI2,abslat,slavery_indigenous,intensive,plow,animals,central,female_ag,optimum,ln_popd_murdock,gathering,hunting,fishing,husbandry,agriculture
"BAFIA",0.662431061267853,"CMR",16.9101905822754,81.0265731811523,22.2509994506836,1802.92224121094,0.648189306259155,1,0,1,0.0226752497255802,0,5,11,30,13.5210208892822,1.32593870162964,0.262118756771088,-0.698469698429108,5,1,0,0,0,0,1,1,1.9917049407959,0,0,2,2,6
"BAGA",0.603842794895172,"GIN",23.9045505523682,54.9037094116211,27.0586891174316,1485.62243652344,0.450776159763336,1,1,0,0.0432974100112915,0,10,-14,34,10.1115264892578,0.205076977610588,0.0618771389126778,0.902191996574402,10,0,0,0,1,0,NA,0,2.30515718460083,1,1,2,1,5
"BAGIRMI",0.667532801628113,"TCD",23.5667190551758,37.7581214904785,28.7157402038574,1084.25244140625,0.290791511535645,1,0,1,0.263551592826843,1,11,17,17,7.1205472946167,-0.778199017047882,-1.92074716091156,0.441762953996658,11,1,0,0,1,1,NA,0,0.256043314933777,1,0,1,2,5
"BAJUN",0.521113872528076,"SOM",21.4744606018066,61.7843399047852,27.2457103729248,1683.35827636719,0.478967487812042,1,1,1,0.00370745407417417,0,-2,41,39,10.6143360137939,0.370374202728271,0.233622565865517,1.05892813205719,2,1,0,0,1,0,0,0,-1.46218383312225,0,1,4,1,4
"BAKO",0.410474061965942,"ETH",7.15887784957886,57.6050910949707,22.9474792480469,1321.8916015625,0.537842929363251,1,0,1,0.519064366817474,0,6,37,23,11.645881652832,0.709491908550262,0.18573197722435,-0.474242627620697,6,NA,1,0,1,1,0,1,-0.365705728530884,0,0,0,3,7
"BAKWE",0.584260106086731,"CIV",17.6500492095947,78.3631973266602,25.3789501190186,1988.77563476563,0.636058449745178,1,1,1,0.0932570025324821,0,5,-7,33,13.3182020187378,1.2592625617981,1.92515504360199,1.45014142990112,5,1,0,0,1,0,NA,1,0.327430367469788,0,1,1,1,7
"BALANTE",0.632376909255981,"GNB",13.4532499313354,45.058349609375,28.1072807312012,1266.46765136719,0.354204177856445,1,1,0,0.0081011550500989,0,12,-16,34,8.33778953552246,-0.378034055233002,-1.08758056163788,0.634905338287354,12,1,0,0,1,0,NA,0,3.41355133056641,0,1,1,2,6
"BALI",0.290589034557343,"CMR",15.7241201400757,74.7266006469727,23.4531803131104,1752.57641601563,0.627707481384277,1,0,0,0.118264898657799,0,6,10,30,13.1781311035156,1.213214635849,0.101608045399189,-0.335415750741959,6,1,NA,NA,NA,NA,NA,1,3.14339232444763,0,2,1,1,6
"BAMBARA",0.594360172748566,"MLI",31.1486396789551,36.6020393371582,29.0277309417725,1062.47412109375,0.26731550693512,1,0,1,0.309735417366028,1,13,-7,13,6.65682744979858,-0.930645644664764,-2.31001257896423,0.384212732315063,13,1,1,0,1,0,0,0,2.04479694366455,2,0,1,2,5
"BAMILEKE",0.436385273933411,"CMR",12.8029499053955,74.7266006469727,23.4531803131104,1752.57641601563,0.627707481384277,1,0,0,0.0596001893281937,0,5,10,30,13.1781311035156,1.213214635849,0.101608045399189,-0.335415750741959,5,1,0,0,0,1,1,1,4.10091590881348,0,1,0,1,8
